Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Rio,2011,Carlos Saldanha,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann', 'Jane Lynch', 'Will.i.am', 'George Lopez', 'Wanda Sykes', 'Jamie Foxx', 'Rodrigo Santoro', 'Jemaine Clement', 'Jake T. Austin', 'Tracy Morgan', 'Carlos Ponce', 'Karen Disher', 'Jason Fricchione', 'Sofia Scarpa Saldanha', 'Kelly Keaton', 'Gracinha Leporace', 'Phil Miler', 'Bernardo de Paula', 'Carlos Saldanha', ""Renato D'Angelo"", 'Jeffrey Garcia', 'Davi Vieira', 'Thomas F. Wilson', 'Cindy Slattery', 'Justine Warwick', 'Bebel Gilberto', 'Judah Friedlander', 'Francisco Ramos', 'Tim Nordquist', 'Miriam Wallen', 'Sérgio Mendes', 'Ester Dean', 'Priscilla Avila', 'Anzolin Borges', 'Claudia Bretas', 'Carlinhos Brown', 'Ubirajara de Castro', 'Shanti Correa', 'Wendy Cutler', 'Heber Moreira', 'Flávia de Mellow', 'Andrea De Oliveira', 'Holly Dorff', 'Matheus dos Santos', 'Lucas dos Santos', 'Andrea Ferraz', 'Marcos Daniel Ferreira', 'Hanna Frankel', 'Johnny Gidcomb', 'Jean Gilpin', 'Julia Saraiva Gomez', 'Nicholas Guest', 'Rif Hutton', 'Julia Kamanchek Lopes', 'Lorrayne Mathias', 'Mikael Mutti', 'Leo Nobre', 'Mina Olivera', 'Bianca Rossini', 'Julia Scarpa Saldanha', 'Manoela Scarpa Saldanha', 'Adriana Souza', 'Maxwell Wippich', 'Matthew Wolf']",3.28,nan,"['Adventure', 'Animation', 'Comedy', 'Family']",96,['USA'],English,"['English', 'Portuguese']","Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.","['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",637187,37032,82343,1200,1192,4312,4937,21965,28141,77864,49562,52510,11046,33839,285368,https://letterboxd.com/film/rio-2011/
Love & Other Drugs,2010,Edward Zwick,"['Jake Gyllenhaal', 'Anne Hathaway', 'Oliver Platt', 'Hank Azaria', 'Josh Gad', 'Gabriel Macht', 'Judy Greer', 'Jill Clayburgh', 'George Segal', 'Kate Jennings Grant', 'Katheryn Winnick', 'Kimberly Scott', 'Peter Friedman', 'Nikki DeLoach', 'Natalie Gold', 'Megan Ferguson', 'Michael Benjamin Washington', ""Bingo O'Malley"", 'Dorothy Silver', 'Lucy Roucis', 'Joan Augustin', 'Michael Chernus', 'Kate Easton', 'Michael Buffer', 'Maïté Schwartz', 'Maximilian Osinski', 'Ian Harding', 'Josh Breslow', 'Ian Novick', 'Tess Soltau', 'Constance Brenneman', 'Nicole Thomas', 'Jasper Soffer', 'Kwame Rakes', 'Scott Cohen', 'Sharon Wilkins', 'Brian Hutchison', 'Dana Dancho', 'Lisa Ann Goldsmith', 'Rick Applegate', 'Ray Godshall Sr.', 'Jean Zarzour', ""Harry O'Toole"", 'Jennifer Delaeo', 'Deidre Goodwin', 'Geneva Carr', 'Vanessa Aspillaga', 'Patricia Cray', 'Kristin Spatafore', 'Larissa Emanuele', 'Loretta Higgins', 'Kimberly M. Rizzo', 'Jason Bernard', 'Nicole Perrone', 'Jo Newman', 'Christina Fandino', 'Teri Clark', 'Kevin McClatchy', 'Jaimie Alexander', ""Diedra Arthur-O'Ree"", 'Stephanie Bankosh', 'David Barckhoff', 'Robert R. Bell', 'Aaron Bernard', 'Ralph Browning', 'Alissa Collins', 'Kyle Fields', 'Joe Forgione', 'Nicole George', 'Ryan Goimarac', 'Mark Golik', 'John W. Iwanonkiw', 'Sharyn Kmieciak', 'Wayne Leya', 'David Dale McCue', 'David Morse', 'Christian Pearson', 'Chris A. Riskus', 'Nayli Russo', 'Michael K. Sieg', 'Laura Welsh', 'Morgan Wolk', ""Conan O'Brien"", 'Gwyneth E. Larsen', 'Brooke Miyasaki', 'Jackson Nunn']",3.15,nan,"['Comedy', 'Drama', 'Romance']",112,['USA'],English,['English'],"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.","['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Stuber Pictures', 'Bedford Falls Productions', 'Dune Entertainment']",385793,37007,62320,919,1357,3690,4159,17415,23553,63382,45005,39502,7582,15627,221272,https://letterboxd.com/film/love-other-drugs/
The Intern,2015,Nancy Meyers,"['Robert De Niro', 'Anne Hathaway', 'Rene Russo', 'Anders Holm', 'JoJo Kushner', 'Andrew Rannells', 'Adam Devine', 'Zack Pearlman', 'Jason Orley', 'Christina Scherer', 'Nat Wolff', 'Linda Lavin', 'Celia Weston', 'Steve Vinovich', 'C.J. Wilson', 'Mary Kay Place', 'Erin Mackey', 'Christina Brucato', 'Wallis Currie-Wood', 'Molly Bernard', 'Paulina Singer', 'Annie Funke', 'Christine Evangelista', 'Julee Cerda', 'Peter Vack', 'Nikki Granatell', 'Liza Binkley', 'Eshan Bay', 'Caitlin Kinnunen', 'Tristan Griffin', 'Sydney Morton', 'Brandon Tyler Harris', 'Elena Shaddow', 'Liz Holtan', 'Claire Saunders', 'G. Keith Alexander', 'Susan Feldman', 'Mark D. Sikes', 'Drena De Niro', 'Max von Essen', 'George Merrick', 'Casey Benjamin', 'Ruby Motz', 'Emma Angstadt', 'Eliud Kauffman', 'Jenny Fellner', 'Sean Kleier', 'Elliot Villar', 'Tiffany Chen Ming-Ying', 'Nikki James', 'Mayumi Miguel', 'JoAnna Powell', 'Dan Castiglione', 'Edie Cowan', 'Ronald Duncan', 'Michael Mann', 'Leasen Beth Almquist', ""Leah O'Donnell"", 'William Ryall', 'Djassi DaCosta Johnson', 'Ashley Amber Haas', 'Michael Gorman', 'Katherine Argo', 'Matt Wall', 'Daniel A. Weiner', 'Frazer Brown', 'Doris McCarthy', 'Kerttu Veske']",3.26,nan,['Comedy'],121,['USA'],English,['English'],"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","['Warner Bros. Pictures', 'RatPac Entertainment', 'Waverly Films']",432722,31873,74912,1100,1270,3542,3886,16297,22178,65054,51732,48993,10196,19150,242298,https://letterboxd.com/film/the-intern-2015/
The Princess Diaries 2: Royal Engagement,2004,Garry Marshall,"['Anne Hathaway', 'Julie Andrews', 'Hector Elizondo', 'John Rhys-Davies', 'Heather Matarazzo', 'Chris Pine', 'Callum Blue', 'Larry Miller', 'Raven-Symoné', 'Kathleen Marshall', 'Caroline Goodall', 'Lorraine Nicholson', 'Shannon Wilcox', 'Greg Lewis', 'Abigail Breslin', 'Paul Vogt', 'Joseph Leo Bwarie', 'Hope Alexander-Willis', 'Rowan Joseph', 'Jeffrey Scott Jensen', 'Stan Lee', 'Spencer Breslin', 'Tom Poston', 'Joel McCrary', 'Kim Thomson', 'Matthew Walker', 'Larry Robbins', 'Elizabeth Gudenrath', 'Cristi Andrews', 'Lauren Davidson', 'Tom Hines', 'Allan Kent', 'Wesley Horton', 'Clare Sera', 'Elinor Donahue', 'Barbara Marshall', 'Sam Denoff', 'Amy Edwards', 'Daru Kawalkowski', 'Steve Restivo', 'Susan Elizabeth Jackson', 'Madison Dunaway', 'Kazumi Nakamura', 'Daston Kalili', 'Joe Smith', 'Jess Rowland', 'Christopher Wynne', 'Jacki Tenerelli', 'Peggy Crosby', 'Kamilla Bjorlin', 'Dale Hikawa-Silverman', 'Jane Morris', 'Shea Curry', 'Anna A. White', 'Cassie Rowell', 'Erik Bragg', 'Scott Marshall', 'Alec Nemser', 'Claudia Katz Minnick', 'Tracy Reiner', 'Julie Paris', 'Jennifer Jewel-High Jackson', 'Mark McDaniels', 'Brian Klugman', 'Aldric A. Horton', 'Bruce Hall', 'Paul Williams', 'Herbert Malina', 'Bonnie Aarons', 'Sandra Taylor', 'David Rockwell', 'Shane Partlow', 'Greg Vojtanek', 'Keisuke Hoashi', 'Larrs Jackson', 'Kate Albrecht', 'Neal Kaz', 'David Powledge', 'Charles Guardino', 'Shanda Renee', 'Gwenda Perez', 'Rajia Baroudi', 'Diane Frazen', 'Stanley Frazen', 'Bud Markowitz', 'Meredith Patterson', 'Anna Netrebko', 'Jonny Blu', 'Brad Golden', 'Brigitta Lauren', 'Zia Domic', 'Grace Nassar', 'Joe Ross', 'Darwood Chung', 'Joe Wilson', 'Isabella Hofmann', 'Marvin Braverman', 'Blake Davidson', 'John Carlo Kensinger', 'Rosie Krieger', 'Lori Marshall', 'Scott Grossman', 'Joaquín Escamilla', 'Darrel W. Wright', 'Donna Dunmire', 'Susan Carr George', 'Karen Russell Budge', 'Lauren Bell', 'Hannah Schneider', 'Charlee Corra Disney', 'Alexandra Guthy', 'Aimee Adams Hall', 'Brady Woods', 'Claudia Vazquez', 'Nadège August', 'Maui Vang', 'Lily Marshall-Fricker', 'Charlotte Marshall-Fricker', 'Joe Allen Price', 'Kate McCauley Hathaway', 'Tanya Callau', 'Sparrow Heatley', 'Ali Gage', 'Marty Nadler', 'Jeff Michalski', 'Judith Baldwin', 'Anina Lincoln', 'Sarina Ranftl', 'Patrick Price', 'Regina Spencer Sipple', 'Luana Jackman', 'Clydene Jackson', 'Karen Harper', 'Bobbi Page', 'Teri Eiko Koide', 'John West', 'Rick Logan', 'Kevin Dorsey', 'Dwayne Condon', 'Gerald White', 'Oren Waters', 'Sam Marshall', 'Sol Rosenthal', 'Harvey Keenan', 'Joe Straus', 'Leon Dewayne Cozy', 'Fat Louie', 'Maurice', 'Victoria Chalaya', 'Peter Allen Vogt', 'Bernardo Hiller']",3.4,nan,"['Romance', 'Drama', 'Comedy', 'Family']",113,['USA'],English,['English'],"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...","['BrownHouse Productions', 'Walt Disney Pictures']",489471,51951,87173,1800,1169,3779,3853,15031,15640,46166,28941,44999,11291,42617,213486,https://letterboxd.com/film/the-princess-diaries-2-royal-engagement/
Ella Enchanted,2004,Tommy O'Haver,"['Anne Hathaway', 'Hugh Dancy', 'Cary Elwes', 'Vivica A. Fox', 'Joanna Lumley', 'Jimi Mistry', 'Steve Coogan', 'Aidan McArdle', 'Heidi Klum', 'Jim Carter', 'Jennifer Higham', 'Parminder Nagra', 'Lucy Punch', 'Minnie Driver', 'Patrick Bergin', 'Eric Idle', 'Alvaro Lucchesi', 'Donna Dent', 'Paraic Breathnach', 'Daniel Naprous', 'Merrina Millsapp', 'Pat Kinevane', 'Ron Yuan', 'Johnny Nguyen']",3.36,nan,"['Comedy', 'Fantasy', 'Family']",96,"['Ireland', 'UK', 'USA']",English,['English'],"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.","['World 2000 Entertainment', 'Enchanted Productions']",349482,42084,65074,1100,955,2839,2754,11573,11978,35837,22333,32009,6906,26194,153378,https://letterboxd.com/film/ella-enchanted/
Bride Wars,2009,Gary Winick,"['Kate Hudson', 'Anne Hathaway', 'Bryan Greenberg', 'Chris Pratt', 'Steve Howey', 'Candice Bergen', 'Kristen Johnston', 'Michael Arden', 'Victor Slezak', 'Kelly Coffield Park', 'John Pankow', ""Zoe O'Grady"", 'Shannon Ferber', 'June Diane Raphael', 'Charles Bernard', 'Emily Sarah Stikeman', 'Robert Capron', 'Kallie Tabor', 'Bruce Altman', 'Hettienne Park', 'Lauren Bittner', 'Rena Maliszewski', 'Casey Wilson', 'Sarah Kate Jackson', 'Jason Kolotouros', 'Paul Scheer', 'André Holland', 'Anna Madigan', 'Daniel Raymont', 'Jon Daly', 'Michael Anastasia', 'Nicole Stuart', 'Robert Scott Wilson', 'Pamela Figueiredo', 'Sam Pannier', 'John Franchi', 'William Brent', 'Jeremy Brothers', 'Colin Ford']",2.87,nan,"['Romance', 'Comedy']",89,['USA'],English,['English'],Two best friends become rivals when their respective weddings are accidentally booked for the same day.,"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Birdie Productions', 'Dune Entertainment', 'Dune Entertainment III']",332081,34436,45894,460,2284,6105,5905,20005,20176,45298,21702,25864,4199,14758,166296,https://letterboxd.com/film/bride-wars/
Eileen,2023,William Oldroyd,"['Thomasin McKenzie', 'Anne Hathaway', 'Shea Whigham', 'Sam Nivola', 'Marin Ireland', 'Siobhan Fallon Hogan', 'Tonye Patano', 'William Hill', 'Owen Teague', 'Peter McRobbie', 'Peter Von Berg', 'Patrick Noonan', 'Jefferson White', 'Alexander Jameson', 'Patrick Ryan Wood', 'Gavin K. Barfield', 'Spencer Barnes', 'Mason Pettograsso', 'Mark Havlis', 'Willie C. Carpenter', 'Brendan Burke', 'Julian Gavilanes', 'Joel Marsh Garland', 'Louis Vanaria', 'Lawrence Arancio', 'Lauren Yaffe', 'Matt Berman', 'Ben Kennedy', 'Myra Thibault']",3.16,nan,"['Drama', 'Thriller', 'Crime']",98,"['UK', 'USA']",English,['English'],"In 1960s Massachusetts, an unhappy prison secretary is beguiled by a new co-worker who pulls her into complicity in a crime that surpasses her wildest imaginings.","['Likely Story', 'Film4 Productions', 'Omniscient Films', 'Fifth Season']",94623,30024,20419,184,347,910,1358,6095,9307,22268,19053,14537,3138,2702,79715,https://letterboxd.com/film/eileen-2023/
Dark Waters,2019,Todd Haynes,"['Mark Ruffalo', 'Anne Hathaway', 'Tim Robbins', 'Bill Pullman', 'Bill Camp', 'Victor Garber', 'Mare Winningham', 'William Jackson Harper', 'Louisa Krause', 'Kevin Crowley', 'Bruce Cromer', 'Denise Dal Vera', 'Richard Hagerman', 'Abi Van Andel', 'John Newberg', 'Barry Mulholland', 'Jeffrey Grover', 'Jim Azelvandre', 'Graham Caldwell', ""William 'Bucky' Bailey"", 'Marcia Dangerfield', 'Brian Gallagher', 'Michael Haney', 'Barry G. Bernson', 'Michael King', 'Greg Violand', 'Michael Joseph Thomas Ward', 'John Moll', 'Clara Harris', 'Bella Falcone', 'Scarlett Hicks', 'Amy Morse', 'Aidan Brogan', 'Nathan Slaughter', 'Beau Hartwig', 'Jacob Bukowski', 'Keating P. Sharp', 'Mikel Furlow', 'Amy Warner', 'Linnea Bond', 'David Myers Gregory', 'Shyra Thomas', 'Ian Short', 'Kyndra Jefferies', 'Courtney DeCosky', 'Ken Early', 'Kelly Mengelkoch', 'Annie Fitzpatrick', 'Buz Davis', 'Ronald Jenkins', 'Wynn Reichert', 'Mike Seely', 'Teri Clark', 'Brian Robertson', 'Chaney Morrow', 'Jon Osbeck', 'Clyde Tyrone Harper', 'Lisa DeRoberts', 'Sara Mackie', 'Nathan Neorr', 'Barbara Ann Crumm', 'Sheryl Annette Colley', 'Logan Laskarzewski', 'Phil Fiorini', 'Manuel Venegas Zepeda', 'Jennie Malone', 'Jason M. Griggs', 'George Zamary', 'Kurt Roberson', 'Todd Minobe', 'Jim Laprelle', 'Sydney Miles', 'Catch Farley', 'Trent Rowland', 'Geoff Falk', 'Glen Yrigoyen', 'Elizabeth Marvel', 'Ming Wang', 'Caleb Dwayne Tucker', 'Lea Hutton Beasmore', 'Anita Farmer Bergman', 'Lyman Chen', 'Tyler Craig', 'David Fultz', 'Robert Gerding', 'John W. Harden', 'Al Harland', 'Dennis Craig Hensley', 'Daniel R. Hill', 'Marc Hockl', 'Sue Hopkins', 'Matt Hudson', 'Conner P. Kelley', 'Angel Kerns', 'Bret Aaron Knower', 'Rodger Masten', 'David Pittinger', 'Joanne Popolin', 'Ramona Schwalbach', 'Carly Tamborski', 'Jenny McManus', 'Derek Polen', 'John E. Brownlee']",3.76,nan,"['Thriller', 'Drama']",127,['USA'],English,['English'],"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths due to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.","['Participant', 'Willi Hill', 'Killer Films', 'DreamWorks Pictures', 'Amblin Partners', 'Focus Features', 'Mandate International']",144732,27563,32956,159,79,231,317,1741,3444,16329,30646,41968,10181,5894,110830,https://letterboxd.com/film/dark-waters-2019/
Alice Through the Looking Glass,2016,James Bobin,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Alan Rickman', 'Michael Sheen', 'Sacha Baron Cohen', 'Andrew Scott', 'Rhys Ifans', 'Timothy Spall', 'Ed Speleers', 'Stephen Fry', 'Lindsay Duncan', 'Matt Lucas', 'Tom Godwin', 'Richard Armitage', 'Amelia Crouch', 'Leilah de Meza', 'Geraldine James', 'Leo Bill', 'Barbara Windsor', 'Meera Syal', 'Hattie Morahan', 'Simone Kirby', 'Siobhan Redmond', 'Paul Whitehouse', 'Matt Vogel', 'Paul Hunter', 'Wally Wingert', 'Louis Ashbourne Serkis', 'Joanna Bobin', 'Joe Hurst', 'Oliver Hawkes', 'Frederick Warder', 'Eve Hedderwick Turner', 'Daniel Hoffmann-Gill', 'Jamie Baughan', 'Matt Wilman', 'Siobhán McSweeney', 'Owain Rhys Davies', 'Edward Petherbridge', 'Richard Syms', 'Neil Edmond', 'Carol Been', 'Ross Carpenter', 'Melissa Collier', 'Heather Craig', 'Janine Craig', 'Leigh Daniels', 'Jules Davison', 'Matt Dempsey', 'Nikki Dunsford', 'Stephanie Elstob', 'Steve Fortune', 'Jane Fowler', 'Adam Galbraith', 'Chris Grierson', 'Dale Mercer', 'William Mowat', 'Cris Penfold', 'Kraig Thornber', 'Carl Walker', 'Claire Winsper', 'Isaac Andrews', 'Alexander Bracq', 'Adam Burton', 'Frances de la Tour', 'Ross Green', 'Kyle Hebert', 'Matt Hookings', 'Bomber Hurley-Smith', 'Martyn Mayger', 'Steve Saunders', 'Mike Simmrin', 'Johanna Smitz', 'Bill Thomas']",2.69,nan,"['Fantasy', 'Family', 'Adventure']",113,"['UK', 'USA']",English,['English'],"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.","['Legend3D', 'Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions']",302050,24756,33218,467,3100,8320,8340,23238,20420,35542,16188,18187,3801,11695,148831,https://letterboxd.com/film/alice-through-the-looking-glass-2016/
Don Jon,2013,Joseph Gordon-Levitt,"['Joseph Gordon-Levitt', 'Scarlett Johansson', 'Julianne Moore', 'Tony Danza', 'Glenne Headly', 'Brie Larson', 'Lindsey Broad', 'Rob Brown', 'Jeremy Luke', 'Paul Ben-Victor', 'Italia Ricci', 'Amanda Perez', 'Sarah Dumont', 'Sloane Avery', 'Loanne Bishop', 'Arin Babaian', 'Arielle Reitsma', 'Rizwan Manji', 'Eva Mah', 'Nina Agdal', 'Jason Burnham', 'Johnny Ferrara', 'Tiffany Pulvino', 'Olia Voronkova', 'Sonni Brown', 'Antoinette Kalaj', 'Arayna Eison', ""Becky O'Donohue"", 'Elena Kim', 'Tanya Mityushina', 'Craig Marks', 'Anne Hathaway', 'Channing Tatum', 'Meagan Good', 'Cuba Gooding Jr.', 'Alexis Texas', 'Sunny Lane', 'Devon', 'Cheyne Collins', 'Kayden Kross', 'Jenny Hendrix', 'Damien Michaels', 'Tori Black', 'Manuel Ferrara', 'Mia Malkova', 'Jynx Maze', 'Dani Daniels', 'Isis Taylor', 'Bree Olson', 'Aletta Ocean', 'Stoya', 'Mark Ashley', 'Misty Stone', 'Borislav Iliev', 'Louise Cliffe', 'Nina Varano']",2.87,nan,"['Comedy', 'Romance', 'Drama']",90,['USA'],English,['English'],"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.","['Ram Bergman Productions', 'HitRecord Films', 'Voltage Pictures']",234619,18616,25402,84,2357,5319,5050,17380,19368,38673,23633,13918,2240,2260,130198,https://letterboxd.com/film/don-jon/
Valentine's Day,2010,Garry Marshall,"['Julia Roberts', 'Bradley Cooper', 'Anne Hathaway', 'Patrick Dempsey', 'Eric Dane', 'Jessica Biel', 'Emma Roberts', 'Taylor Swift', 'Jessica Alba', 'Jennifer Garner', 'Jamie Foxx', 'Hector Elizondo', 'Shirley MacLaine', 'Topher Grace', 'Ashton Kutcher', 'Carter Jenkins', 'Kathy Bates', 'Queen Latifah', 'Taylor Lautner', 'George Lopez', 'Katherine LaNasa', 'Alexis Kendra', 'Aramis Knight', 'Larry Miller', 'Bryce Robinson', 'Matthew Walker', 'Beth Kennedy', 'Kristen Schaal', 'Erin Matthews', 'Christine Lakin', 'Lauren Reeder', 'Julia Springer', 'Kathleen Marshall', 'Anna Kulinova', 'Cassie Rowell', 'Faline England', 'James F. McCann', 'Shea Curry', 'Wedil David', 'Natalie Machado', 'Jennifer Leigh Warren', 'Megan Suri', 'Brooklynn Proulx', 'Karolinah Villarreal', 'Joey Sorge', 'Alec Nemser', 'Rick Batalla', 'Scott Crumly', 'Jonathan Morgan Heit', 'Angelo Salvatore Restaino', 'Scott Marshall', 'Kelly Flynn', 'Sam Marshall', 'Mandy Medlin', 'Larrs Jackson', 'Cleo King', 'Corena Chase', 'Justin Michael Duval', 'Heidi Brucker', 'Lily Marshall-Fricker', 'Kamilla Bjorlin', 'Anna A. White', 'Stefanie Sherk', 'Marty Nadler', 'Scott Sener', 'Colin Owens', 'Calvin Jung', 'Serena Poon', 'Kazumi Nakamura', 'Gwenda Perez', 'Kiko Kiko', 'Joseph Leo Bwarie', 'Robert Belushi', 'Jaclyn Miller', 'Joe Smith', 'Katie Joy Horwitch', 'Lisa Roberts Gillan', 'Barbara Marshall', 'Stephanie Fabian', 'Sandra Taylor', 'Sarah Lilly', 'Tony Scruggs', 'Roberta Valderrama', 'Cyrus Alexander', 'Paul Vogt', 'Bonnie Aarons', 'Adreana Gonzalez', 'Matt Merchant', 'Lisa Valenzuela', 'Howard Storm', 'Jennifer Amy', 'Rance Howard', 'Travina Springer', 'Tracy Reiner', 'Hannah Storm', 'Mike Greenberg', 'Mike Golic', 'Paul Williams', 'Susie Abraham', 'Guilford Adams', 'Emily Arlook', 'Lauren C. Brooks', 'Jennifer De Minco', 'Norman Deesing', 'Vivi Devereaux', 'Barbra Dunn', 'Jerald Garner', 'Roger Groh', 'Aimee Adams Hall', 'Cary Huff', 'Rowan Joseph', 'Kathryn Le', 'Hans Marrero', 'Garry Marshall', 'Joe Mantegna', 'Kristin Mellian', 'Angie Patterson', 'Gladys Khan', 'Mobin Khan', 'Taylor McCluskey', 'Ash McNair', 'Aaron Pushkar', 'Johnny Sale', 'Derek Theler', 'Emily Moss Wilson', 'Greg Wilson', 'Joel Zaldivar', 'Peter Allen Vogt', 'Agnes-Nicole Winter']",2.62,nan,"['Comedy', 'Romance']",125,['USA'],English,['English'],"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter. A grade-school boy wants flowers for his first true love. Two high school seniors plan first-time sex at noon. A TV sports reporter gets the assignment to find romance in LA. A star quarterback contemplates his future. Two strangers meet on a plane. Grandparents, together for years, face a crisis. An 'I Hate Valentine's Day' dinner beckons the lonely and the lied to.","['Karz Entertainment', 'New Line Cinema', 'Rice Films', 'Warner Bros. Pictures']",257740,25669,27094,198,3139,8238,7094,19912,16201,29310,12293,13646,2256,7132,119221,https://letterboxd.com/film/valentines-day/
